report,line,inpth,tag,label,formatted_value,ddate,qtrs
2,10,0,CashAndCashEquivalentsAtCarryingValue,Cash and cash equivalents,810,20240930,0
2,11,0,AccountsReceivableNetCurrent,Accounts receivable,"3,376",20240930,0
2,12,0,InventoryNet,Inventory,"1,219",20240930,0
2,13,0,AssetsCurrent,Total current assets,"5,405",20240930,0
2,14,0,EquipmentNotInService,Equipment not in service,0,20240930,0
2,15,0,OtherAssetsNoncurrent,Other Assets,0,20240930,0
2,16,0,Assets,Total assets,"5,405",20240930,0
2,19,0,AccountsPayableCurrent,Accounts payable,"136,807",20240930,0
2,20,0,AccruedLiabilitiesCurrent,Accrued liabilities,"101,067",20240930,0
2,21,0,NotesPayableRelatedParty,Notes payable -related party,"352,497",20240930,0
2,22,0,ConvertibleNotesPayableCurrent,Convertible notes,"389,550",20240930,0
2,23,0,LiabilitiesCurrent,Total current liabilities,"979,922",20240930,0
2,24,0,NotesPayableLongTermRelatedParty,Notes payable long term -related party,0,20240930,0
2,25,0,Liabilities,Total liabilities,"979,922",20240930,0
2,26,0,CommitmentsAndContingencies,Commitments and contingencies,,20240930,0
2,27,0,PreferredStockValue,Preferred stock value,175,20240930,0
2,28,0,CommonStockValue,"Common stock, $0.001 par value, 650,000,000 shares authorized; 407,750,100 and 336,763,187 shares issued and outstanding as of September 30, 2024 and December 31, 2023, respectively","407,750",20240930,0
2,29,0,AdditionalPaidInCapital,Additional paid-in capital,"18,249,346",20240930,0
2,30,0,RetainedEarningsAccumulatedDeficit,Accumulated deficit,"(19,598,804)",20240930,0
2,31,0,StockholdersEquity,Total Kisses From Italy Stockholders' Deficit,"(941,532)",20240930,0
2,32,0,MinorityInterest,Non-controlling interest,"(32,985)",20240930,0
2,33,0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Total Stockholders' deficit,"(974,517)",20240930,0
2,34,0,LiabilitiesAndStockholdersEquity,Total liabilities and deficit,"5,405",20240930,0
3,8,1,PreferredStockParOrStatedValuePerShare,"Preferred stock, par value",0,20240930,0
3,9,1,PreferredStockSharesAuthorized,"Preferred stock, shares authorized","5,000,000",20240930,0
3,10,1,PreferredStockSharesIssued,"Preferred stock, shares issued","175,080",20240930,0
3,11,1,PreferredStockSharesOutstanding,"Preferred stock, shares outstanding","175,080",20240930,0
3,12,1,CommonStockParOrStatedValuePerShare,"Common stock, par value",0,20240930,0
3,13,1,CommonStockSharesAuthorized,"Common stock, shares authorized","650,000,000",20240930,0
3,14,1,CommonStockSharesIssued,"Common stock, shares issued","407,750,100",20240930,0
3,15,1,CommonStockSharesOutstanding,"Common stock, shares outstanding","407,750,100",20240930,0
